*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=StreamCon V1_7
*Date=11:07:56
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
150;;;16.579;-37.6307;0;Bottom;TXT4
151;;;12.0826;-71.1817;0;Bottom;TXT1
152;;;33.2044;-78.6851;0;Bottom;TXT1
153;;;75.7918;-66.0932;0;Bottom;TXT1
154;;;9.79813;-17.883;0;Bottom;TXT5
155;;THT;8.54244;-12.879;0;Bottom;L31
156;;THT;41.3084;-47.169;90;Bottom;J48
157;;;61.1947;-61.0043;0;Bottom;TXT1
158;;;11.9886;-78.8017;0;Bottom;TXT1
159;;;32.7021;-48.1525;0;Bottom;TXT1
160;;THT;89.8224;-20.499;0;Bottom;B24
161;;;40.3718;-2.91846;0;Bottom;TXT5
162;;;33.1045;-76.1396;0;Bottom;TXT1
163;;THT;28.8624;-12.879;0;Bottom;L33
164;;;37.7407;-25.8643;0;Bottom;TXT5
165;;;32.5172;-93.7273;90;Bottom;TXT1
166;;;30.2782;-18.0721;0;Bottom;TXT5
167;;;11.9105;-60.7804;0;Bottom;TXT1
168;;;72.0423;-38.533;0;Bottom;Via11
169;;;20.0312;-2.7449;0;Bottom;TXT5
170;1k;THT;87.2824;-60.885;0;Bottom;R7
171;;;33.091;-73.571;0;Bottom;TXT1
172;;;54.5824;-83.7031;0;Bottom;TXT1
173;;THT;41.3084;-52.249;90;Bottom;J47
174;;;54.8605;-71.0806;0;Bottom;TXT1
175;;;20.0188;-17.8977;0;Bottom;TXT5
176;;;54.8898;-53.258;0;Bottom;TXT1
177;1k;THT;87.2824;-48.185;0;Bottom;R2
178;;;54.7665;-78.7006;0;Bottom;TXT1
179;;THT;79.6624;-20.499;0;Bottom;B23
180;;;11.9161;-58.2469;0;Bottom;TXT1
181;;;75.7223;-63.439;0;Bottom;TXT1
182;;;11.845;-63.2439;0;Bottom;TXT1
183;;THT;41.3084;-62.409;90;Bottom;J45
184;;;63.5517;-39.5866;0;Bottom;IMG1
185;;THT;50.4524;-5.25901;0;Bottom;J43
186;;;75.9103;-45.565;0;Bottom;TXT1
187;;;11.9886;-81.2475;0;Bottom;TXT1
188;;;77.3374;-81.2455;0;Bottom;TXT1
